CiD,State,MM,YYYY,DD,T,CT,BusI,RTruckI,ATruckI,SLimit,RoadU,G,A
20181001,NSW,March,2018,Tuesday,7:18,Multiple vehicle,No,Yes,No,50,Bicyclist (includes pillion passengers),Male,29
20181005,NSW,March,2018,Monday,18:25,Multiple vehicle,No,No,No,50,Driver,Male,41
20181007,NSW,March,2018,Friday,8:00,Pedestrian,No,No,No,50,Pedestrian,Male,55
20181012,NSW,March,2018,Friday,16:05,Multiple vehicle,No,Yes,No,80,Driver,Female,17
20181016,NSW,March,2018,Sunday,1:45,Single vehicle,No,No,No,80,Driver,Female,24
20181022,NSW,March,2018,Saturday,12:45,Single vehicle,No,No,No,80,Motorcycle rider,Male,35
20181025,NSW,March,2018,Tuesday,22:00,Single vehicle,No,No,No,100,Driver,Male,22
20181026,NSW,March,2018,Monday,20:36,Multiple vehicle,No,No,No,70,Motorcycle rider,Male,20
20181027,NSW,March,2018,Friday,16:50,Multiple vehicle,No,No,Yes,110,Driver,Male,46
20181028,NSW,March,2018,Friday,23:15,Pedestrian,No,No,No,100,Pedestrian,Female,29
20181047,NSW,March,2018,Friday,18:55,Multiple vehicle,No,No,Yes,50,Driver,Male,87
20181050,NSW,March,2018,Saturday,15:20,Single vehicle,No,No,No,80,Passenger,Male,17
20181052,NSW,March,2018,Saturday,2:50,Single vehicle,No,No,No,50,Driver,Male,35
20181053,NSW,March,2018,Wednesday,23:30,Single vehicle,No,No,No,60,Driver,Female,28
20181055,NSW,March,2018,Saturday,10:00,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,64
20181058,NSW,March,2018,Friday,11:10,Pedestrian,No,No,No,60,Pedestrian,Female,82
20181062,NSW,March,2018,Thursday,15:13,Multiple vehicle,No,No,No,80,Passenger,Female,84
20181065,NSW,March,2018,Thursday,15:00,Single vehicle,No,No,No,100,Driver,Male,62
20181067,NSW,March,2018,Monday,13:43,Multiple vehicle,No,No,No,50,Motorcycle rider,Male,30
20181069,NSW,March,2018,Monday,16:30,Single vehicle,No,No,No,60,Driver,Male,71
20181071,NSW,March,2018,Sunday,10:55,Multiple vehicle,Yes,No,No,110,Driver,Male,61
20181073,NSW,March,2018,Wednesday,1:00,Single vehicle,No,No,No,80,Passenger,Male,30
20181075,NSW,March,2018,Monday,20:34,Pedestrian,No,No,No,50,Pedestrian,Male,66
20181082,NSW,March,2018,Saturday,20:00,Single vehicle,No,No,No,100,Motorcycle rider,Male,42
20181086,NSW,March,2018,Thursday,18:43,Single vehicle,No,No,No,100,Passenger,Male,33
20182004,VIC,March,2018,Wednesday,15:00,Multiple vehicle,No,-9,No,-9,Passenger,-9,0
20182005,VIC,March,2018,Saturday,5:20,Single vehicle,No,-9,No,60,Driver,Male,26
20182008,VIC,March,2018,Wednesday,18:05,Single vehicle,No,-9,No,-9,Driver,Female,68
20182009,VIC,March,2018,Saturday,2:30,Pedestrian,No,-9,No,-9,Pedestrian,-9,0
20182011,VIC,March,2018,Friday,13:05,Single vehicle,No,-9,No,-9,Motorcycle rider,Male,60
20182013,VIC,March,2018,Thursday,23:30,Single vehicle,No,-9,No,-9,Driver,Male,37
20182023,VIC,March,2018,Wednesday,9:25,Pedestrian,Yes,-9,No,40,Pedestrian,Female,96
20182024,VIC,March,2018,Monday,6:50,Single vehicle,No,-9,No,100,Passenger,Male,20
20182027,VIC,March,2018,Saturday,14:50,Multiple vehicle,No,-9,No,-9,Motorcycle rider,Male,56
20182029,VIC,March,2018,Tuesday,6:45,Multiple vehicle,No,-9,No,-9,Driver,Male,26
20182030,VIC,March,2018,Wednesday,11:15,Single vehicle,No,-9,No,-9,Driver,Male,42
20182035,VIC,March,2018,Thursday,10:20,Pedestrian,No,-9,No,-9,Pedestrian,Male,86
20182036,VIC,March,2018,Monday,16:50,Multiple vehicle,No,-9,No,-9,Motorcycle rider,Male,54
20182037,VIC,March,2018,Friday,7:30,Multiple vehicle,No,-9,No,-9,Passenger,Female,19
20182040,VIC,March,2018,Friday,3:30,Single vehicle,No,-9,No,-9,Driver,Male,19
20182041,VIC,March,2018,Monday,14:29,Single vehicle,No,-9,No,-9,Motorcycle rider,Male,32
20182043,VIC,March,2018,Friday,15:14,Multiple vehicle,No,-9,No,-9,Driver,Male,74
20182044,VIC,March,2018,Saturday,1:15,Single vehicle,No,-9,No,100,Driver,Male,66
20182045,VIC,March,2018,Tuesday,17:30,Multiple vehicle,No,-9,No,50,Driver,Male,19
20182054,VIC,March,2018,Friday,14:00,Pedestrian,No,-9,No,60,Pedestrian,Male,81
20182055,VIC,March,2018,Friday,11:05,Multiple vehicle,No,-9,No,-9,Motorcycle rider,Male,31
20183001,QLD,March,2018,Monday,12:00,Multiple vehicle,No,Yes,No,90,Driver,Female,55
20183003,QLD,March,2018,Saturday,10:00,Multiple vehicle,No,No,No,100,Driver,Male,34
20183008,QLD,March,2018,Monday,5:00,Multiple vehicle,No,No,No,70,Driver,Male,21
